prompt,source,filename,f1,f2,f3,f4
human,human,4000_story_0004.txt,-5.948999829,-1.655649516,-12.98726939,-3.873550645
llm_free,ai,4000_story_0004_llm_free.txt,-16.78843664,-8.03142603,5.9056965055,-1.701932216
human,human,4000_story_0005.txt,4.4652379219,15.78370814,-9.990802431,-1.845659081
llm_free,ai,4000_story_0005_llm_free.txt,-6.910692925,-7.293079072,8.3170063503,0.5781726063
human,human,4000_story_0007.txt,-1.210256525,-10.80870028,-13.99855752,0.0445041774
llm_free,ai,4000_story_0007_llm_free.txt,-10.21992474,-10.32212799,6.245481991,-1.411777917
human,human,4000_story_0008.txt,17.867865688,-1.647874755,-3.631328045,-2.113927275
llm_free,ai,4000_story_0008_llm_free.txt,-16.21616886,-2.096408232,4.5075798708,-1.25386299
human,human,4000_story_0009.txt,2.547151083,36.943807658,-8.082391778,-0.239768394
llm_free,ai,4000_story_0009_llm_free.txt,-13.74868917,-12.08140782,-1.60122131,-1.578767939
human,human,4000_story_0010.txt,2.6472993886,31.926874261,-5.825522117,0.0046939539
llm_free,ai,4000_story_0010_llm_free.txt,-9.630606401,-5.998079255,3.9152340354,-0.225359547
human,human,4000_story_0013.txt,-5.473973699,9.9303722964,-12.25277077,-3.939018403
llm_free,ai,4000_story_0013_llm_free.txt,-11.09373819,-3.193789297,-1.775629486,-1.404549368
human,human,4000_story_0014.txt,16.753189304,4.3408436587,3.9356294817,-1.385224364
llm_free,ai,4000_story_0014_llm_free.txt,-15.12311001,-10.02919595,0.3510582412,-0.433968514
human,human,4000_story_0016.txt,7.6322293028,3.7360061901,-0.80515443,-1.136830787
llm_free,ai,4000_story_0016_llm_free.txt,-12.23714553,-12.70426021,0.0702154034,2.014130919
human,human,4000_story_0018.txt,16.394720477,26.127635261,3.6673206209,-1.184876457
llm_free,ai,4000_story_0018_llm_free.txt,-7.363966998,-4.754606816,11.651572649,4.1793731827
human,human,4000_story_0019.txt,18.405921893,5.9922156964,3.8395613555,0.6473845407
